feature,auc_clean,auc_corrupted,delta
static3_mean,0.9430541871921182,0.7351395730706075,-0.2079146141215107
deltadelta10_std,0.9277175697865353,0.9194417077175698,-0.008275862068965467
deltadelta6_std,0.917832512315271,0.8616420361247947,-0.056190476190476235
deltadelta7_std,0.9177339901477832,0.9125779967159278,-0.005155993431855466
delta7_std,0.9171428571428571,0.8673234811165845,-0.04981937602627262
delta6_std,0.9039080459770115,0.7874548440065682,-0.11645320197044329
delta10_std,0.899671592775041,0.8777011494252873,-0.021970443349753732
delta9_std,0.8969458128078818,0.8732348111658457,-0.0237110016420361
deltadelta9_std,0.8952380952380953,0.9207553366174056,0.02551724137931033
deltadelta8_std,0.8917898193760263,0.9093267651888342,0.017536945812807847
static1_std,0.8884729064039409,0.7869622331691297,-0.10151067323481122
deltadelta11_std,0.8859770114942529,0.9015763546798029,0.015599343185550008
delta11_std,0.8683087027914614,0.8231855500821018,-0.045123152709359626
delta8_std,0.8560919540229885,0.8482430213464697,-0.007848932676518872
deltadelta4_std,0.8507717569786535,0.7586863711001642,-0.09208538587848925
static10_mean,0.8419047619047619,0.5324466338259441,-0.3094581280788178
delta12_std,0.8369786535303777,0.8062068965517242,-0.03077175697865353
static2_mean,0.8298522167487685,0.6766174055829228,-0.1532348111658457
deltadelta2_mean,0.8294252873563218,0.7758949096880131,-0.053530377668308704
deltadelta12_std,0.8241707717569786,0.8509031198686371,0.026732348111658477
static7_std,0.8166174055829228,0.7604269293924466,-0.056190476190476235
static1_mean,0.8137931034482758,0.6664696223316913,-0.14732348111658455
static10_std,0.7956650246305419,0.7243349753694581,-0.07133004926108377
deltadelta5_std,0.779376026272578,0.8497865353037767,0.07041050903119872
deltadelta2_std,0.7758292282430214,0.7366174055829229,-0.03921182266009848
static12_mean,0.7709031198686371,0.5594745484400656,-0.21142857142857152
delta4_std,0.7703776683087028,0.6516256157635468,-0.11875205254515597
static0_mean,0.7688998357963875,0.7866338259441708,0.017733990147783207
static5_mean,0.7687684729064039,0.5157307060755336,-0.2530377668308703
delta14_std,0.7674548440065682,0.6690640394088669,-0.09839080459770122
delta1_std,0.764991789819376,0.5635139573070608,-0.2014778325123152
static6_std,0.7633169129720854,0.6258128078817734,-0.13750410509031197
static14_mean,0.7630870279146141,0.6187192118226601,-0.14436781609195404
static0_std,0.7629556650246305,0.582495894909688,-0.18045977011494252
delta5_std,0.7602627257799671,0.7714942528735632,0.011231527093596094
delta13_std,0.7592446633825944,0.7276190476190476,-0.03162561576354683
static9_std,0.7480131362889983,0.6638423645320197,-0.08417077175697862
deltadelta13_std,0.7465024630541872,0.7561576354679803,0.0096551724137931
delta15_std,0.7424302134646962,0.6013464696223317,-0.14108374384236444
deltadelta14_std,0.734088669950739,0.71376026272578,-0.02032840722495899
static11_std,0.718128078817734,0.613103448275862,-0.10502463054187194
delta1_mean,0.7150410509031199,0.5704761904761905,-0.1445648604269294
static13_mean,0.7133990147783251,0.5522167487684729,-0.1611822660098522
deltadelta15_std,0.7086371100164204,0.6426272577996716,-0.06600985221674882
static8_std,0.6993103448275862,0.7150410509031199,0.015730706075533618
static11_mean,0.6969129720853858,0.5463054187192118,-0.15060755336617404
delta2_std,0.6942857142857143,0.6439737274220033,-0.05031198686371097
delta5_mean,0.6872906403940886,0.5373399014778325,-0.1499507389162561
