feature,auc_limpio,auc_corrompido,delta_auc,p_value_limpio,p_value_corrompido
shimmer_std,0.624,0.5392,-0.08479999999999999,0.13517053560025727,0.6414528745894932
shimmer_p10,0.6112,0.616,0.0048000000000000265,0.18063688161006297,0.1624120073498867
shimmer_mean,0.6064,0.6384,0.03199999999999992,0.2003383819344965,0.09518773522036432
dshimmer_mean,0.5936,0.6272,0.03359999999999996,0.26043426893178667,0.1253189420819512
shimmer_p90,0.5856,0.6224,0.036799999999999944,0.3037847253883319,0.14031564937735785
ddshimmer_p10,0.5648,0.7183999999999999,0.15359999999999996,0.4376816780828031,0.008320309226188398
dshimmer_p90,0.5632,0.7088,0.14559999999999995,0.4492229332287442,0.011656686132397214
dshimmer_std,0.5456,0.6112,0.06559999999999999,0.5869371700692589,0.18063688161006297
dshimmer_p10,0.5408,0.7152000000000001,0.1744000000000001,0.6276258050283593,0.009322867751912354
ddshimmer_std,0.5392,0.6096,0.07040000000000002,0.6414528745894932,0.18703749337591546
ddshimmer_p90,0.5248,0.696,0.1711999999999999,0.7710186241805638,0.01792577735740647
ddshimmer_mean,0.5232,0.6256,0.10240000000000005,0.7858989168050492,0.13017242401938042
